,CodigoPedido,SKU,NomeProduto,Marca,valorTotal,Mes,Ano
2807,47714855,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,3,2021
2808,47719164,26999009,Tarkett - Tarkomassa Preparaçáo 10Kg - Nova Fórmula 26999009 Preço por Saco,Tarkett,71.98,3,2021
2809,44141941,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,452.99,1,2021
2810,44608615,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,452.99,1,2021
2811,44967480,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,486.99,1,2021
2812,47050552,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,2,2021
2813,47714855,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,3,2021
2814,47719164,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,3,2021
2815,61858174,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,505.29,7,2021
2816,61889492,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,505.29,7,2021
2817,46542432,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,292.72,2,2021
2818,46756135,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,539.99,2,2021
2819,46786190,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,2,2021
2820,46805860,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,2,2021
2821,47023222,26999006,Tarkett - Tarkoprimer 10Kg Preço por Balde,Tarkett,432.89,2,2021
2822,59494465,0101006,Scirocco - Piso Tratatto 60x60x3cm 0101006 Preço Por M²,Scirocco,599.98,7,2021
2823,47271755,0103001,Scirocco - Borda Palladio Tratatto 63x50x3cm 0103001 Preço Por Peça,Scirocco,3403.54,2,2021
2824,47271755,0103026,Scirocco - Borda Palladio Kit Canto Reto 90º (Central) Tratatto 50x50 0103026 Preço Por Peça,Scirocco,271.96,2,2021
2825,47271755,0103027,Scirocco - Borda Palladio Kit Canto Reto 90º (Direita) Tratatto 63x37x3 0103027 Preço Por Peça,Scirocco,323.96,2,2021
2826,47271755,0103028,Scirocco - Borda Palladio Kit Canto Reto 90º (Esquerda) Tratatto 63x3 0103028 Preço Por Peça,Scirocco,323.96,2,2021
2827,47271755,0103029,Scirocco - Borda Palladio Quina Reta 90º Tratatto 63x63x3cm 0103029 Preço Por Peça,Scirocco,156.99,2,2021
2828,59494465,0104002,Scirocco - Borda Gradara Tratatto 20x50x3cm 0104002 Preço Por Peça,Scirocco,969.12,7,2021
2829,46236903,0104004,Scirocco - Borda Gradara Tratatto 30x50x3cm 0104004 Preço Por Peça,Scirocco,2439.6,2,2021
2830,59494465,0104008,Scirocco - Borda Gradara Tratatto 50x50x3cm 0104008 Preço Por Peça,Scirocco,677.16,7,2021
2831,59494465,0104011,Scirocco - Borda Gradara Tratatto 63x50x3cm 0104011 Preço Por Peça,Scirocco,2410.88,7,2021
2832,45140172,0502003,Scirocco - Revestimento Anticquo Classico 10x20x2cm 0502003 Preço Por M³,Scirocco,2849.82,2,2021
2833,46793643,0502007,Scirocco - Revestimento Anticquo Classico 10x40x2cm 0502007 Preço Por M³,Scirocco,2119.92,2,2021
2834,47271755,0601003,Scirocco - Piso Drenante 50x50x5cm 0601003 Preço Por M³,Scirocco,774.94,2,2021
2835,47386221,1602001,"Scirocco - Revestimento Guizzo 60x30x1,5cm Com Botão 1602001 Preço Por M²",Scirocco,1479.98,2,2021
2836,44997676,25098075,Tarkett - Decode Wood Natural Honey 25098075 (Corte multiplo de 10m²) Preço por M²,Tarkett,6449.5,1,2021
2837,60973481,25235667120,"Akafloor - Ripado Tauari 20mm x 130mm (Caixa 3,12m²) Preço por M²",Akafloor,4926.43,7,2021
2838,47992382,HAC120.013,"Helena - Porcelanato Splendor Nero Acetinado 62x121 (Caixa com 2,25M²) Preço por M²",Helena,2962.19,3,2021
2839,59094426,SD8438,Stella - Pendente Kraft Colméia Ø35Cm Sd8438 Preço por Unidade,Stella,1070.69,7,2021
2840,61689432,STH6889,Stella - Amplificador P/ Fita Led Rgbw Sth6889 Preço por Unidade,Stella,200.29,7,2021
2841,61417496,STH6889,Stella - Amplificador P/ Fita Led Rgbw Sth6889 Preço por Unidade,Stella,200.29,7,2021
2842,61417496,STH6830/RGBW,Stella - Fita Led Evo 12W/M 24V Ip20 Rgb+W Sth6830/Rgbw Preço por Unidade,Stella,485.52,7,2021
2843,61689432,STH6830/RGBW,Stella - Fita Led Evo 12W/M 24V Ip20 Rgb+W Sth6830/Rgbw Preço por Unidade,Stella,485.52,7,2021
2844,58764434,STH8895,Stella - Fonte Para Led 25W 24V Sth8895 Preço por Unidade,Stella,328.17,6,2021
2845,60641403,STH8895,Stella - Fonte Para Led 25W 24V Sth8895 Preço por Unidade,Stella,437.56,7,2021
2846,61417496,STH8895,Stella - Fonte Para Led 25W 24V Sth8895 Preço por Unidade,Stella,721.92,7,2021
2847,61689432,STH8895,Stella - Fonte Para Led 25W 24V Sth8895 Preço por Unidade,Stella,721.92,7,2021
2848,60969490,STH6873,Stella - Conector 2 Fios Para Fita Led 12W/M Sth6873 Preço por Unidade,Stella,14.58,7,2021
2849,60969490,STH6874,Stella - Emenda Para Fita Led 12W/M Sth6874 Preço por Unidade,Stella,31.96,7,2021
2850,61417496,STH6875,Stella - Conector 5 Fios Para Fita Led Rgbw 12W/M Sth6875 Preço por Unidade,Stella,47.46,7,2021
2851,61689432,STH6875,Stella - Conector 5 Fios Para Fita Led Rgbw 12W/M Sth6875 Preço por Unidade,Stella,47.46,7,2021
2852,61417496,STH6876,Stella - Emenda Para Fita Led Rgbw 12W/M Sth6876 Preço por Unidade,Stella,57.65,7,2021
2853,61689432,STH6876,Stella - Emenda Para Fita Led Rgbw 12W/M Sth6876 Preço por Unidade,Stella,57.65,7,2021
2854,61689432,STH6885,Stella - Controle Infravermelho Rgbw 12-24V Sth6885 Preço por Unidade,Stella,286.2,7,2021
2855,61417496,STH6896,Stella - Fonte Para Led 60W 24V Sth6896 Preço por Unidade,Stella,195.01,7,2021
